thu_tu_uu_tien,chi_so_o_luoi,kinh_do,vi_do,xac_suat_con_vat_no,chi_so_uu_tien,tai_trong_bom_ghi_nhan_tan,so_ho_bom_phat_hien,khoang_cach_khu_dan_cu_m,la_dat_canh_tac,da_ra_pha,ghi_chu
207,7798,106.942494,16.751926,1.0000,0.9908,0.48,0,1100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
208,2619,107.037335,16.730342,1.0000,0.9908,0.88,0,241,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
209,1739,107.037335,16.726745,1.0000,0.9907,0.29,0,100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
210,34797,106.885213,16.862542,1.0000,0.9907,0.36,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
211,25585,106.911506,16.824771,1.0000,0.9907,0.28,0,541,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
212,13845,107.042969,16.776208,1.0000,0.9906,0.16,0,483,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
213,7662,107.021371,16.751027,1.0000,0.9906,0.52,0,1573,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
214,14052,107.030762,16.777107,1.0000,0.9906,0.38,0,907,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
215,19930,106.972542,16.801389,1.0000,0.9905,0.28,0,1441,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
216,11871,107.048603,16.768114,1.0000,0.9905,0.61,1,841,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
217,10480,106.981933,16.762718,1.0000,0.9905,1.10,3,2031,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
218,10621,106.907750,16.763617,1.0000,0.9905,0.72,0,3300,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
219,9759,106.924652,16.760020,1.0000,0.9905,0.25,0,1583,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
220,14199,106.962213,16.778006,1.0000,0.9904,0.35,0,524,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
221,15787,107.007286,16.784301,1.0000,0.9904,0.44,1,3694,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
222,28003,106.909628,16.834664,1.0000,0.9904,0.58,0,383,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
223,2961,106.945311,16.732141,1.0000,0.9904,0.49,8,3238,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
224,10262,106.983811,16.761818,1.0000,0.9903,1.39,0,2014,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
225,13979,106.962213,16.777107,1.0000,0.9903,0.54,0,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
226,11048,106.895543,16.765416,1.0000,0.9903,0.71,0,4600,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
227,29738,106.886152,16.841858,1.0000,0.9902,0.48,0,2300,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
228,10092,107.030762,16.760919,1.0000,0.9902,0.08,0,200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
229,4996,106.996957,16.740235,1.0000,0.9902,0.69,0,2566,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
230,10181,106.907750,16.761818,1.0000,0.9902,0.77,0,3300,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
231,10327,107.044847,16.761818,1.0000,0.9902,0.56,0,900,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
232,11773,106.956579,16.768114,1.0000,0.9902,0.61,1,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
233,9189,107.009164,16.757322,1.0000,0.9901,0.75,1,2583,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
234,33883,106.853287,16.858945,1.0000,0.9901,0.19,0,700,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
235,10401,106.907750,16.762718,1.0000,0.9901,0.77,0,3300,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
236,12953,107.031701,16.772610,1.0000,0.9900,0.76,0,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
237,10328,107.045786,16.761818,1.0000,0.9900,0.58,0,1000,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
238,3916,107.015737,16.735738,1.0000,0.9900,0.34,0,2131,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
239,10210,106.934981,16.761818,1.0000,0.9900,0.58,10,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
240,9808,106.970664,16.760020,1.0000,0.9900,0.66,0,1400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
241,2827,107.026067,16.731242,1.0000,0.9900,0.54,2,824,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
242,10840,106.906811,16.764516,1.0000,0.9900,0.58,0,3400,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
243,26759,106.980993,16.829268,1.0000,0.9900,0.47,0,1400,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
244,11049,106.896482,16.765416,1.0000,0.9900,0.73,0,4500,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
245,29737,106.885213,16.841858,1.0000,0.9900,0.57,0,2300,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
246,10041,106.982872,16.760919,1.0000,0.9899,1.19,1,1873,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
247,15789,107.009164,16.784301,1.0000,0.9899,0.65,0,3494,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
248,4173,107.050481,16.736637,1.0000,0.9899,0.47,2,1873,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
249,9627,107.007286,16.759120,1.0000,0.9899,1.12,2,2700,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
250,11117,106.960335,16.765416,1.0000,0.9899,0.49,1,783,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
251,35890,106.878640,16.867039,1.0000,0.9899,0.51,1,441,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
252,21450,106.953762,16.807684,1.0000,0.9899,0.26,0,283,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
253,15999,106.999774,16.785201,1.0000,0.9898,0.46,0,4536,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
254,17274,106.957518,16.790597,1.0000,0.9898,0.37,1,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
255,22787,106.969725,16.813080,1.0000,0.9898,0.50,0,1431,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
256,25161,106.926530,16.822972,1.0000,0.9897,0.66,0,1390,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
257,10647,106.932164,16.763617,1.0000,0.9897,0.37,0,700,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
258,27406,106.968786,16.831966,1.0000,0.9897,0.21,2,241,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
259,10844,106.910567,16.764516,1.0000,0.9897,0.43,0,3000,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
260,16006,107.006347,16.785201,1.0000,0.9896,0.27,0,3836,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
261,16008,107.008225,16.785201,1.0000,0.9896,0.51,0,3636,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
262,36109,106.877701,16.867938,1.0000,0.9896,0.67,0,583,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
263,10043,106.984750,16.760919,1.0000,0.9896,1.07,5,1956,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
264,10699,106.980993,16.763617,1.0000,0.9896,0.78,0,2090,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
265,9628,107.008225,16.759120,1.0000,0.9896,0.99,2,2600,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
266,10824,106.891786,16.764516,1.0000,0.9896,0.95,0,5000,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
267,8048,106.970664,16.752825,1.0000,0.9896,0.35,0,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
268,11267,106.894604,16.766315,1.0000,0.9896,0.84,0,4741,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
269,10434,106.938738,16.762718,1.0000,0.9895,0.41,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
270,5215,106.996018,16.741134,1.0000,0.9895,0.49,4,2424,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
271,9821,106.982872,16.760020,1.0000,0.9895,1.00,1,1773,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
272,27359,106.924652,16.831966,1.0000,0.9895,0.24,0,900,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
273,2836,107.034518,16.731242,1.0000,0.9895,0.27,1,300,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
274,37849,106.858921,16.875133,1.0000,0.9894,0.49,0,2749,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
275,7595,106.958457,16.751027,1.0000,0.9894,0.23,0,1466,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
276,2166,107.025127,16.728544,1.0000,0.9894,0.85,3,800,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
277,10020,106.963152,16.760919,1.0000,0.9894,0.40,0,1407,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
278,10044,106.985689,16.760919,1.0000,0.9894,0.87,2,1997,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
279,9135,106.958457,16.757322,1.0000,0.9894,0.37,2,1600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
280,26039,106.924652,16.826570,1.0000,0.9894,0.38,0,1024,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
281,3183,106.947189,16.733040,1.0000,0.9894,0.48,2,2997,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
282,9188,107.008225,16.757322,1.0000,0.9894,0.80,2,2683,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
283,3493,107.031701,16.733939,1.0000,0.9893,0.16,1,641,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
284,17720,106.963152,16.792395,1.0000,0.9893,0.50,0,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
285,9964,106.910567,16.760919,1.0000,0.9893,0.60,0,3041,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
286,10429,106.934042,16.762718,1.0000,0.9892,0.53,2,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
287,7575,106.939677,16.751027,1.0000,0.9892,0.72,0,1200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
288,10259,106.980993,16.761818,1.0000,0.9891,0.78,0,1890,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
289,3060,107.038274,16.732141,1.0000,0.9891,0.77,0,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
290,8908,106.951884,16.756423,1.0000,0.9891,0.16,0,1249,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
291,6939,106.962213,16.748329,1.0000,0.9891,0.56,2,941,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
292,25577,106.903994,16.824771,1.0000,0.9891,0.33,3,1107,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
293,7443,107.022310,16.750127,1.0000,0.9891,0.63,0,1514,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
294,27342,106.908689,16.831966,1.0000,0.9890,0.31,2,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
295,25824,106.929347,16.825670,1.0000,0.9890,0.42,2,1566,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
296,11268,106.895543,16.766315,1.0000,0.9890,0.77,0,4641,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
297,10019,106.962213,16.760919,1.0000,0.9890,0.52,0,1366,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
298,10435,106.939677,16.762718,1.0000,0.9890,0.49,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
299,10403,106.909628,16.762718,1.0000,0.9889,0.71,0,3100,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
300,3879,106.980993,16.735738,1.0000,0.9889,0.43,0,1190,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
301,8455,106.939677,16.754624,1.0000,0.9889,0.32,0,800,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
302,13175,107.033579,16.773510,1.0000,0.9889,0.88,0,441,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
303,30175,106.883335,16.843657,1.0000,0.9889,0.66,0,2100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
304,17494,106.957518,16.791496,1.0000,0.9889,0.31,2,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
305,27124,106.910567,16.831066,1.0000,0.9888,0.41,2,200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
306,9889,107.046725,16.760020,1.0000,0.9888,0.52,2,1100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
307,10876,106.940616,16.764516,1.0000,0.9888,0.28,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
308,5416,106.978176,16.742033,1.0000,0.9888,0.33,0,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
309,7576,106.940616,16.751027,1.0000,0.9888,0.72,1,1200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
310,4149,107.027945,16.736637,1.0000,0.9888,0.42,0,1107,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
311,10610,106.897421,16.763617,1.0000,0.9888,0.67,0,4400,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
312,10023,106.965969,16.760919,1.0000,0.9887,0.48,3,1531,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
313,17061,106.964091,16.789697,1.0000,0.9887,0.71,1,541,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
314,7574,106.938738,16.751027,1.0000,0.9887,0.69,0,1200,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
315,14509,107.046725,16.778906,1.0000,0.9887,0.50,1,949,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
316,7793,106.937799,16.751926,1.0000,0.9887,0.60,0,1141,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
317,30395,106.883335,16.844556,1.0000,0.9886,0.69,0,2000,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
318,3509,107.046725,16.733939,1.0000,0.9886,0.42,2,1349,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
319,8968,107.008225,16.756423,1.0000,0.9886,0.63,2,2724,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
320,14944,107.042030,16.780704,1.0000,0.9886,0.23,0,941,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
321,10481,106.982872,16.762718,1.0000,0.9886,1.35,0,2073,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
322,5698,107.036396,16.742933,1.0000,0.9885,0.32,3,1600,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
323,9807,106.969725,16.760020,1.0000,0.9885,0.75,3,1441,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
324,25294,107.051420,16.822972,1.0000,0.9885,0.25,0,100,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
325,26539,106.980993,16.828368,1.0000,0.9885,0.53,0,1400,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
326,12866,106.950006,16.772610,1.0000,0.9885,0.33,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
327,19706,106.968786,16.800489,1.0000,0.9885,0.25,0,1083,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
328,11331,106.954701,16.766315,1.0000,0.9884,0.53,1,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
329,26900,106.906811,16.830167,1.0000,0.9884,0.30,3,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
330,25805,106.911506,16.825670,1.0000,0.9884,0.36,0,441,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
331,10110,107.047664,16.760919,1.0000,0.9884,0.43,0,1190,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
332,4099,106.980993,16.736637,1.0000,0.9884,0.44,0,1090,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
333,10209,106.934042,16.761818,1.0000,0.9884,0.62,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
334,26319,106.980993,16.827469,1.0000,0.9883,0.48,0,1400,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
335,10460,106.963152,16.762718,1.0000,0.9883,0.40,0,1207,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
336,10842,106.908689,16.764516,1.0000,0.9883,0.60,0,3200,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
337,28243,106.928408,16.835563,1.0000,0.9883,0.58,0,1424,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
338,21670,106.953762,16.808583,1.0000,0.9883,0.15,0,383,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
339,16448,107.008225,16.786999,1.0000,0.9883,0.48,0,3763,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
340,11867,107.044847,16.768114,1.0000,0.9883,0.60,0,441,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
341,9604,106.985689,16.759120,1.0000,0.9882,0.74,3,1797,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
342,11530,106.934981,16.767214,1.0000,0.9882,0.21,0,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
343,11054,106.901177,16.765416,1.0000,0.9882,0.57,0,4000,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
344,26902,106.908689,16.830167,1.0000,0.9882,0.27,1,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
345,10609,106.896482,16.763617,1.0000,0.9882,0.55,0,4500,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
346,3947,107.044847,16.735738,1.0000,0.9882,0.77,2,1231,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
347,14505,107.042969,16.778906,1.0000,0.9882,0.26,0,783,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
348,11052,106.899299,16.765416,1.0000,0.9882,0.87,0,4200,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
349,10920,106.981933,16.764516,1.0000,0.9881,0.75,0,2231,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
350,14054,107.032640,16.777107,1.0000,0.9881,0.34,0,707,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
351,10921,106.982872,16.764516,1.0000,0.9881,0.85,0,2273,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
352,16449,107.009164,16.786999,1.0000,0.9881,0.57,0,3663,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
353,10625,106.911506,16.763617,1.0000,0.9881,0.52,0,2900,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
354,29315,106.902116,16.840059,1.0000,0.9881,0.23,0,1431,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
355,17753,106.994140,16.792395,1.0000,0.9881,0.50,0,3700,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
356,25370,106.916201,16.823872,1.0000,0.9880,0.45,2,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
357,10701,106.982872,16.763617,1.0000,0.9880,1.16,0,2173,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
358,31516,106.903055,16.849053,1.0000,0.9879,0.60,0,2214,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
359,8054,106.976298,16.752825,1.0000,0.9879,0.38,0,683,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
360,37630,106.859860,16.874234,1.0000,0.9878,0.46,0,2690,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
361,9845,107.005408,16.760020,1.0000,0.9878,0.83,0,2900,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
362,5847,106.969725,16.743832,0.8928,0.9878,0.41,2,100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
363,10702,106.983811,16.763617,1.0000,0.9878,1.21,0,2214,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
364,11121,106.964091,16.765416,1.0000,0.9877,0.41,4,949,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
365,630,107.028884,16.722248,1.0000,0.9877,0.28,0,524,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
366,4995,106.996018,16.740235,1.0000,0.9877,0.54,2,2466,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
367,24935,106.920896,16.822073,1.0000,0.9876,0.19,0,1007,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
368,10331,107.048603,16.761818,1.0000,0.9876,0.42,0,1131,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
369,10241,106.964091,16.761818,1.0000,0.9876,0.31,12,1349,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
370,29736,106.884274,16.841858,1.0000,0.9876,0.62,0,2300,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
371,7578,106.942494,16.751027,1.0000,0.9875,0.52,2,1200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
372,7107,106.913384,16.749228,1.0000,0.9875,0.40,0,3280,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
373,10628,106.914323,16.763617,1.0000,0.9875,0.48,0,2600,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
374,10040,106.981933,16.760919,1.0000,0.9875,0.99,1,1831,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
375,27635,106.977237,16.832865,1.0000,0.9874,0.41,0,1124,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
376,33892,106.861738,16.858945,1.0000,0.9874,0.16,0,1190,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
377,10845,106.911506,16.764516,1.0000,0.9874,0.44,0,2900,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
378,10260,106.981933,16.761818,1.0000,0.9874,1.09,5,1931,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
379,22746,106.931225,16.813080,1.0000,0.9874,0.39,0,2463,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
380,11489,106.896482,16.767214,1.0000,0.9874,0.58,0,4583,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
381,9848,107.008225,16.760020,1.0000,0.9874,0.89,1,2600,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
382,27343,106.909628,16.831966,0.8905,0.9873,0.34,1,300,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
383,12962,107.040152,16.772610,0.8790,0.9873,0.26,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
384,5015,107.014798,16.740235,1.0000,0.9873,0.48,3,2438,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
385,3440,106.981933,16.733939,1.0000,0.9873,0.60,1,1431,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
386,36995,106.883335,16.871536,1.0000,0.9873,0.07,0,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
387,6935,106.958457,16.748329,1.0000,0.9873,0.33,0,1341,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
388,9601,106.982872,16.759120,1.0000,0.9873,0.82,0,1673,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
389,11564,106.966908,16.767214,1.0000,0.9873,0.67,0,1107,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
390,31736,106.903055,16.849952,1.0000,0.9873,0.56,0,2314,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
391,10832,106.899299,16.764516,1.0000,0.9872,0.92,0,4200,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
392,11062,106.908689,16.765416,1.0000,0.9872,0.49,0,3200,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
393,16450,107.010103,16.786999,1.0000,0.9872,0.56,0,3563,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
394,17500,106.963152,16.791496,0.8998,0.9871,0.61,0,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
395,6295,106.977237,16.745631,0.8719,0.9871,0.48,1,300,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
396,31515,106.902116,16.849053,1.0000,0.9871,0.56,0,2256,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
397,6937,106.960335,16.748329,1.0000,0.9871,0.44,0,1141,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
398,31735,106.902116,16.849952,1.0000,0.9871,0.51,0,2280,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
399,4165,107.042969,16.736637,1.0000,0.9871,0.52,0,1190,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
400,31517,106.903994,16.849053,1.0000,0.9870,0.53,0,2173,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
401,10426,106.931225,16.762718,1.0000,0.9870,0.46,0,800,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
402,8271,106.973481,16.753725,1.0000,0.9869,0.24,0,700,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
403,5127,106.913384,16.741134,1.0000,0.9869,0.53,0,3653,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
404,8965,107.005408,16.756423,1.0000,0.9869,0.56,0,3024,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
405,3662,106.983811,16.734839,1.0000,0.9869,0.48,2,1414,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
406,11487,106.894604,16.767214,1.0000,0.9869,0.80,0,4783,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
407,1710,107.010103,16.726745,1.0000,0.9868,0.48,0,2400,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
408,10042,106.983811,16.760919,1.0000,0.9868,1.22,1,1914,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
409,5845,106.967847,16.743832,0.8810,0.9867,0.40,0,300,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
410,29975,106.902116,16.842757,1.0000,0.9867,0.71,2,1556,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
411,7325,106.911506,16.750127,1.0000,0.9867,0.47,0,3438,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
